time,date,Iht
1,1/24/2020,
2,1/25/2020,
3,1/26/2020,
4,1/27/2020,
5,1/28/2020,
6,1/29/2020,
7,1/30/2020,
8,1/31/2020,
9,2/1/2020,
10,2/2/2020,
11,2/3/2020,
12,2/4/2020,
13,2/5/2020,
14,2/6/2020,
15,2/7/2020,
16,2/8/2020,
17,2/9/2020,
18,2/10/2020,
19,2/11/2020,
20,2/12/2020,
21,2/13/2020,
22,2/14/2020,
23,2/15/2020,
24,2/16/2020,
25,2/17/2020,
26,2/18/2020,
27,2/19/2020,
28,2/20/2020,
29,2/21/2020,
30,2/22/2020,
31,2/23/2020,
32,2/24/2020,
33,2/25/2020,
34,2/26/2020,
35,2/27/2020,
36,2/28/2020,
37,2/29/2020,
38,3/1/2020,1
39,3/2/2020,2
40,3/3/2020,2
41,3/4/2020,3
42,3/5/2020,3
43,3/6/2020,3
44,3/7/2020,5
45,3/8/2020,6
46,3/9/2020,8
47,3/10/2020,13
48,3/11/2020,21
49,3/12/2020,31
50,3/13/2020,51
51,3/14/2020,68
52,3/15/2020,89
53,3/16/2020,128
54,3/17/2020,163
55,3/18/2020,207
56,3/19/2020,244
57,3/20/2020,288
58,3/21/2020,309
59,3/22/2020,347
60,3/23/2020,434
61,3/24/2020,482
62,3/25/2020,552
63,3/26/2020,604
64,3/27/2020,664
65,3/28/2020,703
66,3/29/2020,752
67,3/30/2020,829
68,3/31/2020,871
69,4/1/2020,901
70,4/2/2020,887
71,4/3/2020,873
72,4/4/2020,851
73,4/5/2020,842
74,4/6/2020,864
75,4/7/2020,830
76,4/8/2020,833
77,4/9/2020,848
78,4/10/2020,842
79,4/11/2020,841
80,4/12/2020,822
81,4/13/2020,842
82,4/14/2020,888
83,4/15/2020,878
84,4/16/2020,859
85,4/17/2020,858
86,4/18/2020,843
87,4/19/2020,874
88,4/20/2020,861
89,4/21/2020,851
90,4/22/2020,859
91,4/23/2020,873
92,4/24/2020,866
93,4/25/2020,834
94,4/26/2020,812
95,4/27/2020,776
96,4/28/2020,784
97,4/29/2020,782
98,4/30/2020,756
99,5/1/2020,737
100,5/2/2020,737
101,5/3/2020,722
102,5/4/2020,689
103,5/5/2020,650
104,5/6/2020,636
105,5/7/2020,628
106,5/8/2020,610
107,5/9/2020,586
108,5/10/2020,573
109,5/11/2020,557
110,5/12/2020,563
111,5/13/2020,522
112,5/14/2020,514
113,5/15/2020,497
114,5/16/2020,517
115,5/17/2020,486
116,5/18/2020,460
117,5/19/2020,463
118,5/20/2020,466
119,5/21/2020,445
120,5/22/2020,444
121,5/23/2020,426
122,5/24/2020,409
123,5/25/2020,397
124,5/26/2020,367
125,5/27/2020,362
126,5/28/2020,335
127,5/29/2020,321
128,5/30/2020,308
129,5/31/2020,297
130,6/1/2020,272
131,6/2/2020,268
132,6/3/2020,261
133,6/4/2020,231
134,6/5/2020,215
135,6/6/2020,207
136,6/7/2020,204
137,6/8/2020,198
138,6/9/2020,180
139,6/10/2020,182
140,6/11/2020,168
141,6/12/2020,167
142,6/13/2020,166
143,6/14/2020,162
144,6/15/2020,166
145,6/16/2020,158
146,6/17/2020,164
147,6/18/2020,151
148,6/19/2020,156
149,6/20/2020,151
150,6/21/2020,160
151,6/22/2020,149
152,6/23/2020,141
153,6/24/2020,134
154,6/25/2020,135
155,6/26/2020,129
156,6/27/2020,126
157,6/28/2020,135
158,6/29/2020,132
159,6/30/2020,139
160,7/1/2020,144
161,7/2/2020,147
162,7/3/2020,147
163,7/4/2020,155
164,7/5/2020,171
165,7/6/2020,165
166,7/7/2020,173
167,7/8/2020,184
168,7/9/2020,202
169,7/10/2020,211
170,7/11/2020,215
